"","WaterYear","Month","ResID","ResName","ResNameAbbrev","FieldID","FieldName","FieldUnits","MonthlyValue"
"48",1936,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6184561989
"49",1936,7,921,"Lake Mead","Mead",42,"Total Release","cfs",352595
"50",1936,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6993619837
"51",1936,8,921,"Lake Mead","Mead",42,"Total Release","cfs",309410
"52",1936,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6137057851
"53",1936,9,921,"Lake Mead","Mead",42,"Total Release","cfs",281415
"54",1936,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5581785128
"55",1936,10,921,"Lake Mead","Mead",42,"Total Release","cfs",309009
"56",1936,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6129104131
"57",1936,11,921,"Lake Mead","Mead",42,"Total Release","cfs",289995
"58",1936,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5751966945
"59",1936,12,921,"Lake Mead","Mead",42,"Total Release","cfs",149425
"60",1936,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.29638016531
"61",1937,1,921,"Lake Mead","Mead",42,"Total Release","cfs",148409
"62",1937,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.29436495864
"63",1937,2,921,"Lake Mead","Mead",42,"Total Release","cfs",154620
"64",1937,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.30668429764
"65",1937,3,921,"Lake Mead","Mead",42,"Total Release","cfs",262445
"66",1937,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5205520663
"67",1937,4,921,"Lake Mead","Mead",42,"Total Release","cfs",282537
"68",1937,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5604039669
"69",1937,5,921,"Lake Mead","Mead",42,"Total Release","cfs",277751
"70",1937,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5509110747
"71",1937,6,921,"Lake Mead","Mead",42,"Total Release","cfs",291260
"72",1937,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5777057851
"73",1937,7,921,"Lake Mead","Mead",42,"Total Release","cfs",337780
"74",1937,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6699768595
"75",1937,8,921,"Lake Mead","Mead",42,"Total Release","cfs",333750
"76",1937,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6619834711
"77",1937,9,921,"Lake Mead","Mead",42,"Total Release","cfs",282890
"78",1937,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5611041323
"79",1937,10,921,"Lake Mead","Mead",42,"Total Release","cfs",226205
"80",1937,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4486710744
"81",1937,11,921,"Lake Mead","Mead",42,"Total Release","cfs",179060
"82",1937,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.35516033041
"83",1937,12,921,"Lake Mead","Mead",42,"Total Release","cfs",154885
"84",1937,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.30720991733
"85",1938,1,921,"Lake Mead","Mead",42,"Total Release","cfs",199070
"86",1938,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.394849587
"87",1938,2,921,"Lake Mead","Mead",42,"Total Release","cfs",185205
"88",1938,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.3673487603
"89",1938,3,921,"Lake Mead","Mead",42,"Total Release","cfs",242505
"90",1938,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4810016529
"91",1938,4,921,"Lake Mead","Mead",42,"Total Release","cfs",298305
"92",1938,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.591679339
"93",1938,5,921,"Lake Mead","Mead",42,"Total Release","cfs",284020
"94",1938,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5633454547
"95",1938,6,921,"Lake Mead","Mead",42,"Total Release","cfs",321275
"96",1938,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6372396696
"97",1938,7,921,"Lake Mead","Mead",42,"Total Release","cfs",349990
"98",1938,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6941950414
"99",1938,8,921,"Lake Mead","Mead",42,"Total Release","cfs",323280
"100",1938,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6412165291
"101",1938,9,921,"Lake Mead","Mead",42,"Total Release","cfs",282735
"102",1938,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5607966942
"103",1938,10,921,"Lake Mead","Mead",42,"Total Release","cfs",258185
"104",1938,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5121024795
"105",1938,11,921,"Lake Mead","Mead",42,"Total Release","cfs",207235
"106",1938,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4110446283
"107",1938,12,921,"Lake Mead","Mead",42,"Total Release","cfs",201640
"108",1938,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.3999471077
"109",1939,1,921,"Lake Mead","Mead",42,"Total Release","cfs",397540
"110",1939,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.78850909104
"111",1939,2,921,"Lake Mead","Mead",42,"Total Release","cfs",657715
"112",1939,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.3045586778
"113",1939,3,921,"Lake Mead","Mead",42,"Total Release","cfs",319750
"114",1939,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.63421487612
"115",1939,4,921,"Lake Mead","Mead",42,"Total Release","cfs",328080
"116",1939,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6507371902
"117",1939,5,921,"Lake Mead","Mead",42,"Total Release","cfs",311860
"118",1939,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6185652895
"119",1939,6,921,"Lake Mead","Mead",42,"Total Release","cfs",332790
"120",1939,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6600793391
"121",1939,7,921,"Lake Mead","Mead",42,"Total Release","cfs",357340
"122",1939,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7087735538
"123",1939,8,921,"Lake Mead","Mead",42,"Total Release","cfs",364160
"124",1939,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7223008264
"125",1939,9,921,"Lake Mead","Mead",42,"Total Release","cfs",310620
"126",1939,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.616105785
"127",1939,10,921,"Lake Mead","Mead",42,"Total Release","cfs",397060
"128",1939,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7875570249
"129",1939,11,921,"Lake Mead","Mead",42,"Total Release","cfs",382470
"130",1939,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7586181817
"131",1939,12,921,"Lake Mead","Mead",42,"Total Release","cfs",205715
"132",1939,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.40802975189
"133",1940,1,921,"Lake Mead","Mead",42,"Total Release","cfs",344070
"134",1940,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6824528927
"135",1940,2,921,"Lake Mead","Mead",42,"Total Release","cfs",234140
"136",1940,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.4644099173
"137",1940,3,921,"Lake Mead","Mead",42,"Total Release","cfs",321270
"138",1940,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6372297523
"139",1940,4,921,"Lake Mead","Mead",42,"Total Release","cfs",314110
"140",1940,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6230280994
"141",1940,5,921,"Lake Mead","Mead",42,"Total Release","cfs",289570
"142",1940,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5743537197
"143",1940,6,921,"Lake Mead","Mead",42,"Total Release","cfs",292380
"144",1940,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5799272727
"145",1940,7,921,"Lake Mead","Mead",42,"Total Release","cfs",339020
"146",1940,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6724363637
"147",1940,8,921,"Lake Mead","Mead",42,"Total Release","cfs",342420
"148",1940,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6791801652
"149",1940,9,921,"Lake Mead","Mead",42,"Total Release","cfs",350310
"150",1940,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6948297525
"151",1940,10,921,"Lake Mead","Mead",42,"Total Release","cfs",350600
"152",1940,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.6954049591
"153",1940,11,921,"Lake Mead","Mead",42,"Total Release","cfs",358060
"154",1940,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7102016529
"155",1940,12,921,"Lake Mead","Mead",42,"Total Release","cfs",354810
"156",1940,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7037553721
"157",1941,1,921,"Lake Mead","Mead",42,"Total Release","cfs",299080
"158",1941,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5932165289
"159",1941,2,921,"Lake Mead","Mead",42,"Total Release","cfs",253520
"160",1941,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.502849587
"161",1941,3,921,"Lake Mead","Mead",42,"Total Release","cfs",279730
"162",1941,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.5548363637
"163",1941,4,921,"Lake Mead","Mead",42,"Total Release","cfs",261540
"164",1941,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.518757025
"165",1941,5,921,"Lake Mead","Mead",42,"Total Release","cfs",722190
"166",1941,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.432442975
"167",1941,6,921,"Lake Mead","Mead",42,"Total Release","cfs",912700
"168",1941,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.8103140498
"169",1941,7,921,"Lake Mead","Mead",42,"Total Release","cfs",481000
"170",1941,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9540495864
"171",1941,8,921,"Lake Mead","Mead",42,"Total Release","cfs",717700
"172",1941,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.4235371903
"173",1941,9,921,"Lake Mead","Mead",42,"Total Release","cfs",793000
"174",1941,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.5728925621
"175",1941,10,921,"Lake Mead","Mead",42,"Total Release","cfs",401760
"176",1941,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7968793388
"177",1941,11,921,"Lake Mead","Mead",42,"Total Release","cfs",389800
"178",1941,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7731570248
"179",1941,12,921,"Lake Mead","Mead",42,"Total Release","cfs",403020
"180",1941,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7993785125
"181",1942,1,921,"Lake Mead","Mead",42,"Total Release","cfs",1014100
"182",1942,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",2.011438017
"183",1942,2,921,"Lake Mead","Mead",42,"Total Release","cfs",782900
"184",1942,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.5528595046
"185",1942,3,921,"Lake Mead","Mead",42,"Total Release","cfs",717990
"186",1942,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.424112397
"187",1942,4,921,"Lake Mead","Mead",42,"Total Release","cfs",656140
"188",1942,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.3014347109
"189",1942,5,921,"Lake Mead","Mead",42,"Total Release","cfs",677800
"190",1942,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.3443966942
"191",1942,6,921,"Lake Mead","Mead",42,"Total Release","cfs",785704
"192",1942,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.5584211571
"193",1942,7,921,"Lake Mead","Mead",42,"Total Release","cfs",648429
"194",1942,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2861401654
"195",1942,8,921,"Lake Mead","Mead",42,"Total Release","cfs",428285
"196",1942,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8494909094
"197",1942,9,921,"Lake Mead","Mead",42,"Total Release","cfs",527188
"198",1942,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.045662149
"199",1942,10,921,"Lake Mead","Mead",42,"Total Release","cfs",826700
"200",1942,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.6397355375
"201",1942,11,921,"Lake Mead","Mead",42,"Total Release","cfs",917700
"202",1942,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.8202314051
"203",1942,12,921,"Lake Mead","Mead",42,"Total Release","cfs",1041100
"204",1942,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",2.0649917354
"205",1943,1,921,"Lake Mead","Mead",42,"Total Release","cfs",560153
"206",1943,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1110472728
"207",1943,2,921,"Lake Mead","Mead",42,"Total Release","cfs",417783
"208",1943,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.828660496
"209",1943,3,921,"Lake Mead","Mead",42,"Total Release","cfs",493314
"210",1943,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9784740501
"211",1943,4,921,"Lake Mead","Mead",42,"Total Release","cfs",463647
"212",1943,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9196304132
"213",1943,5,921,"Lake Mead","Mead",42,"Total Release","cfs",515522
"214",1943,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0225229757
"215",1943,6,921,"Lake Mead","Mead",42,"Total Release","cfs",525340
"216",1943,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0419966943
"217",1943,7,921,"Lake Mead","Mead",42,"Total Release","cfs",560469
"218",1943,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1116740497
"219",1943,8,921,"Lake Mead","Mead",42,"Total Release","cfs",523174
"220",1943,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0377004959
"221",1943,9,921,"Lake Mead","Mead",42,"Total Release","cfs",525307
"222",1943,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0419312399
"223",1943,10,921,"Lake Mead","Mead",42,"Total Release","cfs",587437
"224",1943,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1651642976
"225",1943,11,921,"Lake Mead","Mead",42,"Total Release","cfs",555407
"226",1943,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1016337192
"227",1943,12,921,"Lake Mead","Mead",42,"Total Release","cfs",581236
"228",1943,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1528647935
"229",1944,1,921,"Lake Mead","Mead",42,"Total Release","cfs",655476
"230",1944,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.3001176862
"231",1944,2,921,"Lake Mead","Mead",42,"Total Release","cfs",638388
"232",1944,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2662241323
"233",1944,3,921,"Lake Mead","Mead",42,"Total Release","cfs",658494
"234",1944,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.3061038017
"235",1944,4,921,"Lake Mead","Mead",42,"Total Release","cfs",591435
"236",1944,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1730942151
"237",1944,5,921,"Lake Mead","Mead",42,"Total Release","cfs",614445
"238",1944,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2187338845
"239",1944,6,921,"Lake Mead","Mead",42,"Total Release","cfs",561545
"240",1944,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1138082646
"241",1944,7,921,"Lake Mead","Mead",42,"Total Release","cfs",564597
"242",1944,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1198618182
"243",1944,8,921,"Lake Mead","Mead",42,"Total Release","cfs",608959
"244",1944,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2078525623
"245",1944,9,921,"Lake Mead","Mead",42,"Total Release","cfs",567393
"246",1944,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1254076033
"247",1944,10,921,"Lake Mead","Mead",42,"Total Release","cfs",594290
"248",1944,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.178757025
"249",1944,11,921,"Lake Mead","Mead",42,"Total Release","cfs",592976
"250",1944,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1761507441
"251",1944,12,921,"Lake Mead","Mead",42,"Total Release","cfs",640530
"252",1944,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2704727273
"253",1945,1,921,"Lake Mead","Mead",42,"Total Release","cfs",625262
"254",1945,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.240189091
"255",1945,2,921,"Lake Mead","Mead",42,"Total Release","cfs",552362
"256",1945,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0955940497
"257",1945,3,921,"Lake Mead","Mead",42,"Total Release","cfs",630907
"258",1945,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2513857852
"259",1945,4,921,"Lake Mead","Mead",42,"Total Release","cfs",524489
"260",1945,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0403087606
"261",1945,5,921,"Lake Mead","Mead",42,"Total Release","cfs",533943
"262",1945,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0590604963
"263",1945,6,921,"Lake Mead","Mead",42,"Total Release","cfs",510822
"264",1945,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0132006614
"265",1945,7,921,"Lake Mead","Mead",42,"Total Release","cfs",436562
"266",1945,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8659080993
"267",1945,8,921,"Lake Mead","Mead",42,"Total Release","cfs",442543
"268",1945,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.87777124016
"269",1945,9,921,"Lake Mead","Mead",42,"Total Release","cfs",437018
"270",1945,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8668125619
"271",1945,10,921,"Lake Mead","Mead",42,"Total Release","cfs",612938
"272",1945,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2157447938
"273",1945,11,921,"Lake Mead","Mead",42,"Total Release","cfs",594923
"274",1945,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1800125622
"275",1945,12,921,"Lake Mead","Mead",42,"Total Release","cfs",605160
"276",1945,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2003173557
"277",1946,1,921,"Lake Mead","Mead",42,"Total Release","cfs",557149
"278",1946,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1050889256
"279",1946,2,921,"Lake Mead","Mead",42,"Total Release","cfs",524728
"280",1946,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.04078281
"281",1946,3,921,"Lake Mead","Mead",42,"Total Release","cfs",502364
"282",1946,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9964244626
"283",1946,4,921,"Lake Mead","Mead",42,"Total Release","cfs",440765
"284",1946,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8742446279
"285",1946,5,921,"Lake Mead","Mead",42,"Total Release","cfs",460706
"286",1946,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9137970249
"287",1946,6,921,"Lake Mead","Mead",42,"Total Release","cfs",410970
"288",1946,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8151471075
"289",1946,7,921,"Lake Mead","Mead",42,"Total Release","cfs",418871
"290",1946,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8308185124
"291",1946,8,921,"Lake Mead","Mead",42,"Total Release","cfs",378373
"292",1946,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7504919011
"293",1946,9,921,"Lake Mead","Mead",42,"Total Release","cfs",378343
"294",1946,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7504323969
"295",1946,10,921,"Lake Mead","Mead",42,"Total Release","cfs",537305
"296",1946,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0657289258
"297",1946,11,921,"Lake Mead","Mead",42,"Total Release","cfs",523754
"298",1946,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0388509093
"299",1946,12,921,"Lake Mead","Mead",42,"Total Release","cfs",542936
"300",1946,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0768978511
"301",1947,1,921,"Lake Mead","Mead",42,"Total Release","cfs",498811
"302",1947,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9893771904
"303",1947,2,921,"Lake Mead","Mead",42,"Total Release","cfs",448482
"304",1947,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8895510744
"305",1947,3,921,"Lake Mead","Mead",42,"Total Release","cfs",483782
"306",1947,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9595676034
"307",1947,4,921,"Lake Mead","Mead",42,"Total Release","cfs",437362
"308",1947,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8674948761
"309",1947,5,921,"Lake Mead","Mead",42,"Total Release","cfs",485025
"310",1947,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.962033058
"311",1947,6,921,"Lake Mead","Mead",42,"Total Release","cfs",480891
"312",1947,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9538333885
"313",1947,7,921,"Lake Mead","Mead",42,"Total Release","cfs",474754
"314",1947,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.9416608266
"315",1947,8,921,"Lake Mead","Mead",42,"Total Release","cfs",442124
"316",1947,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8769401651
"317",1947,9,921,"Lake Mead","Mead",42,"Total Release","cfs",429155
"318",1947,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8512165292
"319",1947,10,921,"Lake Mead","Mead",42,"Total Release","cfs",430701
"320",1947,10,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8542829752
"321",1947,11,921,"Lake Mead","Mead",42,"Total Release","cfs",382807
"322",1947,11,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.7592866116
"323",1947,12,921,"Lake Mead","Mead",42,"Total Release","cfs",441665
"324",1947,12,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.8760297521
"325",1948,1,921,"Lake Mead","Mead",42,"Total Release","cfs",606028
"326",1948,1,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2020390083
"327",1948,2,921,"Lake Mead","Mead",42,"Total Release","cfs",585558
"328",1948,2,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1614373556
"329",1948,3,921,"Lake Mead","Mead",42,"Total Release","cfs",587492
"330",1948,3,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1652733883
"331",1948,4,921,"Lake Mead","Mead",42,"Total Release","cfs",607828
"332",1948,4,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.2056092561
"333",1948,5,921,"Lake Mead","Mead",42,"Total Release","cfs",578565
"334",1948,5,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1475669422
"335",1948,6,921,"Lake Mead","Mead",42,"Total Release","cfs",544164
"336",1948,6,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.0793335542
"337",1948,7,921,"Lake Mead","Mead",42,"Total Release","cfs",591196
"338",1948,7,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.1726201656
"339",1948,8,921,"Lake Mead","Mead",42,"Total Release","cfs",493117
"340",1948,8,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",0.978083306
"341",1948,9,921,"Lake Mead","Mead",42,"Total Release","cfs",505920
"342",1948,9,921,"Lake Mead","Mead",43,"Release volume","million acre-feet",1.003477686
"343",1948,10,921,"Lake Mead","Mead",42,"Total Release","cfs",432456
