"","WaterYear","AnnualRelease","TenYearRelease","TenYearTarget","TenYearTarget82","NineYearRelease","Diff75","Diff82"
"23",1987,13.4006554918033,131.246951168197,74.8,82.3,122.910665699344,56.4469511681967,48.9469511681967
"24",1988,8.12667291147541,131.03733861082,74.8,82.3,122.758097843607,56.2373386108197,48.7373386108197
"25",1989,7.96391143278688,130.722009276393,74.8,82.3,119.837219102623,55.9220092763934,48.4220092763934
"26",1990,8.12346637377049,127.960685476393,74.8,82.3,119.682790663279,53.1606854763934,45.6606854763934
"27",1991,8.1045042557377,127.787294919016,74.8,82.3,119.500178340984,52.9872949190164,45.4872949190164
"28",1992,7.98524876393443,127.485427104918,74.8,82.3,110.028382655738,52.685427104918,45.185427104918
"29",1993,8.08564110491803,118.114023760656,74.8,82.3,97.6572632885246,43.3140237606557,35.8140237606557
"30",1994,8.27128380327869,105.928547091803,74.8,82.3,86.8741718229508,31.1285470918033,23.6285470918033
"31",1995,9.20414875409836,96.0783205770492,74.8,82.3,79.2655328918033,21.2783205770492,13.7783205770492
"32",1996,11.4981691672131,90.7637020590164,74.8,82.3,77.3630465672131,15.9637020590164,8.46370205901638
"33",1997,13.794944808183,91.1579913753961,74.8,82.3,83.0313184639207,16.3579913753961,8.85799137539611
"34",1998,13.4817832552942,96.5131017192149,74.8,82.3,88.549190286428,21.7131017192149,14.2131017192149
"35",1999,11.1809390210865,99.7301293075145,74.8,82.3,91.606662933744,24.9301293075145,17.4301293075145
"36",2000,9.36134835060512,100.968011284349,74.8,82.3,92.8635070286115,26.1680112843492,18.6680112843492
"37",2001,8.21839902233605,101.081906050948,74.8,82.3,93.0966572870131,26.2819060509475,18.7819060509475
"38",2002,8.21376183403551,101.310419121049,74.8,82.3,93.2247780161306,26.5104191210486,19.0104191210486
"39",2003,8.21146356654341,101.436241582674,74.8,82.3,93.1649577793953,26.636241582674,19.136241582674
"40",2004,8.21381543994319,101.378773219338,74.8,82.3,92.1746244652401,26.5787732193385,19.0787732193385
"41",2005,8.21459125970217,100.389215724942,74.8,82.3,88.8910465577292,25.5892157249423,18.0892157249423
"42",2006,8.21124484314357,97.1022914008727,74.8,82.3,83.3073465926897,22.3022914008727,14.8022914008727
"43",2007,8.21391004713593,91.5212566398257,74.8,82.3,78.0394733845314,16.7212566398257,9.22125663982565
"44",2008,8.95934546754321,86.9988188520747,74.8,82.3,75.8178798309882,12.1988188520747,4.69881885207467
"45",2009,8.21856727101228,84.0364471020004,74.8,82.3,74.6750987513953,9.23644710200044,1.73644710200044
"46",2010,8.21762121054521,82.8927199619405,74.8,82.3,74.6743209396045,8.09271996194053,0.592719961940531
"47",2011,12.4921884619962,87.1665094016007,74.8,82.3,78.9527475675652,12.3665094016007,4.86650940160067
"48",2012,9.44624718164686,88.398994749212,74.8,82.3,80.1875311826686,13.598994749212,6.09899474921203
"49",2013,8.21494250609882,88.4024736887674,74.8,82.3,80.1886582488242,13.6024736887674,6.10247368876743
"50",2014,7.46409497615534,87.6527532249796,74.8,82.3,79.4381619652774,12.8527532249796,5.35275322497958
"51",2015,8.98154713771395,88.4197091029914,74.8,82.3,80.2084642598478,13.6197091029914,6.11970910299137
"52",2016,8.98125761908809,89.1897218789359,74.8,82.3,80.9758118317999,14.3897218789359,6.88972187893589
"53",2017,8.98126053446425,89.9570723662642,74.8,82.3,80.997726898721,15.1570723662642,7.6570723662642
"54",2018,8.98118078704021,89.9789076857612,74.8,82.3,81.7603404147489,15.1789076857612,7.6789076857612
"55",2019,8.98266672921247,90.7430071439614,74.8,82.3,82.5253859334162,15.9430071439614,8.44300714396138
"56",2020,8.21296945248949,90.7383553859056,74.8,82.3,78.2461669239095,15.9383553859057,8.43835538590565
"57",2021,8.21235084563219,86.4585177695417,74.8,82.3,77.0122705878948,11.6585177695417,4.15851776954166
"58",2022,6.98456349836833,83.9968340862631,74.8,82.3,75.7818915801643,9.19683408626312,1.69683408626312
"59",2023,8.56296469818814,84.3448562783524,74.8,82.3,76.8807613021971,9.54485627835244,2.04485627835244
"60",2024,7.46590969457479,84.3466709967719,74.8,82.3,75.3651238590579,9.54667099677189,2.04667099677189
"61",2025,7.46499960087128,82.8301234599292,74.8,82.3,73.8488658408411,8.03012345992923,0.530123459929229
