"","X","WaterYear","ResID","ResName","ResNameAbbrev","FieldID","FieldName","FieldUnits","AnnualValue","TenYearRelease","OneYearTarget","OneYearTarget82","TenYearTarget","TenYearTarget82"
"35",367,1997,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",13.8237064271,91.37494611975,7.48,8.23,74.8,82.3
"36",376,1998,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",13.5098919478,96.74122153672,7.48,8.23,74.8,82.3
"37",385,1999,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",11.20425059609,99.93806056064,7.48,8.23,74.8,82.3
"38",394,2000,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.3808661906,101.17852344302,7.48,8.23,74.8,82.3
"39",403,2001,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2355338842,101.29265567169,7.48,8.23,74.8,82.3
"40",412,2002,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2308870263,101.52164517339,7.48,8.23,74.8,82.3
"41",421,2003,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2285839652,101.64772996189,7.48,8.23,74.8,82.3
"42",430,2004,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2309407469,101.59014178119,7.48,8.23,74.8,82.3
"43",439,2005,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2317181835,100.59852111879,7.48,8.23,74.8,82.3
"44",448,2006,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2283647861,97.30474375379,7.48,8.23,74.8,82.3
"45",457,2007,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.231035548,91.71207287469,7.48,8.23,74.8,82.3
"46",466,2008,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.978025155,87.18020608189,7.48,8.23,74.8,82.3
"47",475,2009,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2357024789,84.2116579647,7.48,8.23,74.8,82.3
"48",484,2010,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2347544481,83.0655462222,7.48,8.23,74.8,82.3
"49",493,2011,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",12.5182339101,87.3482462481,7.48,8.23,74.8,82.3
"50",502,2012,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.4659420264,88.5833012482,7.48,8.23,74.8,82.3
"51",511,2013,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2320701592,88.5867874422,7.48,8.23,74.8,82.3
"52",520,2014,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4796571588,87.8355038541,7.48,8.23,74.8,82.3
"53",529,2015,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.0002731125,88.6040587831,7.48,8.23,74.8,82.3
"54",538,2016,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999829925,89.3756769895,7.48,8.23,74.8,82.3
"55",547,2017,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999859131,90.1446273546,7.48,8.23,74.8,82.3
"56",556,2018,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.9999059959,90.1665081955,7.48,8.23,74.8,82.3
"57",565,2019,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",9.0013950367,90.9322007533,7.48,8.23,74.8,82.3
"58",574,2020,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2300929906,90.9275392958,7.48,8.23,74.8,82.3
"59",583,2021,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.2294730974,86.6387784831,7.48,8.23,74.8,82.3
"60",592,2022,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",6.999125888,84.1719623447,7.48,8.23,74.8,82.3
"61",601,2023,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",8.580817958,84.5207101435,7.48,8.23,74.8,82.3
"62",610,2024,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4814756594,84.5225286441,7.48,8.23,74.8,82.3
"63",619,2025,919,"Lake Powell","Powell",43,"Release volume","million acre-feet",7.4805636691,83.0028192007,7.48,8.23,74.8,82.3
